date,category one,category two has a really long name and takes a lot of space,category three,category four,category five,category six,series
2004,0.150000,0.150000,0.150000,0.150000,0.150000,0.250000,series3
2005,0.140000,0.140000,0.140000,0.140000,0.140000,0.300000,series3
2006,0.140000,0.140000,0.140000,0.140000,0.140000,0.300000,series3
2007,0.140000,0.140000,0.140000,0.140000,0.140000,0.300000,series3
2008,0.140000,0.140000,0.140000,0.140000,0.140000,0.300000,series3
2009,0.140000,0.140000,0.140000,0.140000,0.140000,0.300000,series3
2010,0.130000,0.130000,0.130000,0.130000,0.130000,0.350000,series3
2011,0.130000,0.130000,0.130000,0.130000,0.130000,0.350000,series3
2012,0.130000,0.130000,0.130000,0.130000,0.130000,0.350000,series3
2013,0.130000,0.130000,0.130000,0.130000,0.130000,0.350000,series3
2014,0.120000,0.120000,0.120000,0.120000,0.120000,0.400000,series3
2015,0.120000,0.120000,0.120000,0.120000,0.120000,0.400000,series3
2016,0.120000,0.120000,0.120000,0.120000,0.120000,0.400000,series3
2017,0.120000,0.120000,0.120000,0.120000,0.120000,0.400000,series3
1997,0.150000,0.150000,0.150000,0.150000,0.150000,0.250000,series4
1998,0.150000,0.150000,0.150000,0.150000,0.150000,0.250000,series4
1999,0.150000,0.150000,0.150000,0.150000,0.150000,0.250000,series4
2000,0.150000,0.150000,0.150000,0.150000,0.150000,0.250000,series4
2001,0.150000,0.150000,0.150000,0.150000,0.150000,0.250000,series4
2002,0.150000,0.150000,0.150000,0.150000,0.150000,0.250000,series4
2003,0.150000,0.150000,0.150000,0.150000,0.150000,0.250000,series4
2004,0.150000,0.150000,0.150000,0.150000,0.150000,0.250000,series4
2005,0.140000,0.140000,0.140000,0.140000,0.140000,0.300000,series4
2006,0.140000,0.140000,0.140000,0.140000,0.140000,0.300000,series4
2007,0.140000,0.140000,0.140000,0.140000,0.140000,0.300000,series4
2008,0.140000,0.140000,0.140000,0.140000,0.140000,0.300000,series4
2009,0.140000,0.140000,0.140000,0.140000,0.140000,0.300000,series4
2010,0.130000,0.130000,0.130000,0.130000,0.130000,0.350000,series4
2011,0.130000,0.130000,0.130000,0.130000,0.130000,0.350000,series4
2012,0.130000,0.130000,0.130000,0.130000,0.130000,0.350000,series4
2013,0.130000,0.130000,0.130000,0.130000,0.130000,0.350000,series4
2014,0.120000,0.120000,0.120000,0.120000,0.120000,0.400000,series4
2015,0.120000,0.120000,0.120000,0.120000,0.120000,0.400000,series4
2016,0.120000,0.120000,0.120000,0.120000,0.120000,0.400000,series4
2017,0.120000,0.120000,0.120000,0.120000,0.120000,0.400000,series4
